Name,accelerometerIn
0,-21
1,-16
2,35
3,65
4,3
5,-32
6,23
7,61
8,16
9,-24
10,0
11,49
12,65
13,-12
14,-16
15,35
16,58
17,7
18,-31
19,14
20,56
21,13
22,-21
23,-6
24,50
25,56
26,-3
27,-14
28,-3
29,50
30,53
31,-4
32,-21
33,5
34,35
35,37
36,23
37,5
38,6
39,10
40,9
41,11
42,26
43,27
44,26
45,7
46,2
47,3
48,15
49,14
50,11
51,22
52,31
53,23
54,23
55,15
56,13
57,16
58,10
59,9
60,11
61,27
62,18
63,18
64,15
65,22
66,22
67,22
68,18
69,15
70,23
71,23
72,13
73,5
74,10
75,5
76,11
77,16
78,23
79,31
80,30
81,22
82,9
83,5
84,11
85,24
86,35
87,15
88,3
89,-11
90,3
91,40
92,49
93,20
94,-10
95,0
96,33
97,52
98,7
99,-6
100,10
101,33
102,53
103,18
104,-12
105,10
106,57
107,41
108,-7
109,-15
110,11
111,52
112,13
113,-17
114,-10
115,70
116,48
117,-4
118,-14
119,19
120,53
121,9
122,-20
123,5
124,47
125,30
126,-27
127,-6
128,35
129,57
130,0
131,-34
132,11
133,56
134,14
135,-25
136,3
137,44
138,45
139,-21
140,-11
141,31
142,53
143,5
144,-28
145,6
146,45
147,13
148,-23
149,0
150,40
151,15
152,-20
153,-4
154,24
155,45
156,-2
157,-16
158,14
159,48
160,-4
161,-6
162,-14
163,24
164,58
165,24
166,-8
167,0
168,45
169,53
170,-10
171,-16
172,7
173,50
174,7
175,-23
176,-8
177,62
178,54
179,-8
180,-16
181,20
182,67
183,19
184,-25
185,-3
186,44
187,28
188,-29
189,-7
190,35
191,56
192,2
193,-33
194,9
195,57
196,14
197,-32
198,-6
199,41
200,64
201,-17
202,-12
203,33
204,58
205,7
206,-34
207,13
208,53
209,14
210,-28
211,-6
212,31
213,49
214,2
215,-16
216,18
217,39
218,39
219,15
220,-4
221,3
222,20
223,41
224,27
225,1
226,9
227,3
228,5
229,16
230,20
231,37
232,31
233,6
234,11
235,13
