Name,accelerometerIn
0,3
1,-3
2,-2
3,0
4,-3
5,2
6,-4
7,-2
8,-3
9,0
10,1
11,3
12,0
13,-3
14,0
15,-2
16,0
17,0
18,-3
19,0
20,1
21,-3
22,0
23,0
24,0
25,0
26,-2
27,-3
28,2
29,0
30,0
31,0
32,0
33,2
34,2
35,0
36,-2
37,5
38,-2
39,-3
40,-3
41,0
42,-2
43,0
44,-2
45,-3
46,0
47,1
48,0
49,-2
50,-3
51,1
52,0
53,-3
54,-2
55,-2
56,0
57,-3
58,1
59,-3
60,-3
61,-2
62,-3
63,-2
64,-3
65,-2
66,0
67,1
68,-2
69,-2
70,0
71,-3
72,0
73,-2
74,-2
75,0
76,0
77,-2
78,1
79,3
80,-2
81,0
82,-2
83,-4
84,2
85,-2
86,-2
87,-4
88,0
89,-2
90,-2
91,-3
92,-4
93,-3
94,1
95,-4
96,-6
97,1
98,-3
99,-3
100,0
101,1
102,-3
103,2
104,-3
105,-2
106,2
107,3
108,0
109,2
110,0
111,1
112,0
113,-2
114,0
115,-169
116,-117
117,-21
118,-76
119,-59
120,7
121,24
122,94
123,19
124,45
125,66
126,-2
127,3
128,43
129,44
130,39
131,43
132,64
133,49
134,27
135,35
136,-11
137,-24
138,-14
139,-40
140,-21
141,-33
142,-41
143,-23
144,-42
145,-41
146,-42
147,-45
148,-38
149,-36
150,-28
151,-17
152,-11
153,0
154,0
155,10
156,16
157,18
158,28
159,33
160,40
161,53
162,44
163,47
164,39
165,26
166,27
167,18
168,6
169,6
170,-3
171,-10
172,-16
173,-24
174,-37
175,-40
176,-44
177,-46
178,-48
179,-37
180,-28
181,-16
182,-11
183,-7
184,6
185,9
186,13
187,18
188,27
189,28
190,32
191,35
192,31
193,28
194,24
195,20
196,14
197,16
198,11
199,6
200,0
201,-3
202,-3
203,-11
204,-14
205,-24
206,-21
207,-21
208,-27
209,-25
210,-19
211,-17
212,-16
213,-15
214,-14
215,-7
216,-3
217,1
218,5
219,15
220,16
221,23
222,19
223,22
224,24
225,24
226,18
227,14
228,19
229,14
230,7
231,-2
232,1
233,-4
234,-10
235,-11
236,-16
237,-14
238,-16
239,-19
240,-21
241,-16
242,-12
243,-7
244,-11
245,-11
246,-2
247,-6
248,1
249,3
250,9
251,14
252,13
253,14
254,3
255,14
256,10
257,13
258,10
259,13
260,6
261,3
262,3
263,0
264,0
265,-2
266,-6
267,-10
268,-11
269,-8
270,-8
271,-12
272,-11
273,-11
274,-11
275,-11
276,-11
277,-4
278,0
279,-2
280,-2
281,7
282,7
283,6
284,11
285,7
286,10
287,10
288,7
289,7
290,5
291,3
292,5
293,3
294,-3
295,-6
296,-6
297,-4
298,-6
299,-11
300,-8
301,-7
302,-6
303,-11
304,-10
305,-11
306,-6
307,-7
308,-7
309,-3
310,-2
311,-2
312,3
313,5
314,9
315,6
316,3
317,5
318,11
319,9
320,9
321,6
322,3
323,6
324,3
325,0
326,-3
327,0
328,-3
329,-2
330,-8
331,-10
332,-2
333,-7
334,-8
335,-7
336,-4
337,-6
338,-6
339,-3
340,0
341,3
342,-2
343,1
344,2
345,3
346,5
347,7
348,2
349,5
350,5
351,3
352,7
353,3
354,2
355,7
356,2
357,0
358,-3
359,-4
360,1
361,-2
362,-7
363,-7
364,0
365,-6
366,-6
367,-4
368,-3
369,-2
370,0
371,-6
372,-4
373,-2
374,1
375,0
376,-2
377,0
378,6
379,3
380,6
381,2
382,3
383,3
384,6
385,-3
386,-2
387,3
388,2
389,0
390,0
391,0
392,-3
393,-3
394,-7
395,-6
396,-3
397,-3
398,-4
399,-3
400,-3
401,-3
402,0
403,0
404,0
405,2
406,2
407,-4
408,-2
409,1
410,3
411,3
412,2
413,0
414,3
415,2
416,0
417,2
418,2
419,3
420,0
421,-2
422,1
423,5
424,-2
425,0
426,-6
427,-4
428,1
429,-3
430,0
431,-4
432,0
433,2
434,2
435,-4
436,0
437,2
438,1
439,1
440,1
441,0
442,1
443,-2
444,1
445,0
446,3
447,3
448,1
449,0
450,0
451,1
452,3
453,0
454,0
455,0
456,1
457,-2
458,-6
459,-4
460,1
461,2
462,-4
463,0
464,-3
465,-3
466,0
467,1
468,3
469,2
470,3
471,0
472,0
473,-2
474,1
475,1
476,0
477,0
478,2
479,0
480,1
481,0
482,0
483,2
484,-3
485,-4
486,-3
487,1
488,2
489,-3
490,-2
491,0
492,0
493,0
494,-4
495,0
496,2
497,2
498,0
499,0
500,0
501,3
502,2
503,-193
504,-126
505,-48
506,1
507,-68
508,-32
509,-21
510,31
511,57
512,67
513,98
514,50
515,56
516,71
517,53
518,47
519,47
520,36
521,30
522,35
523,50
524,18
525,6
526,14
527,-21
528,-27
529,-37
530,-62
531,-58
532,-65
533,-58
534,-54
535,-61
536,-49
537,-37
538,-34
539,-25
540,-17
541,-12
542,-6
543,0
544,11
545,18
546,31
547,39
548,50
549,62
550,54
551,61
552,62
553,49
554,44
555,32
556,20
557,14
558,2
559,-11
560,-11
561,-21
562,-31
563,-48
564,-55
565,-57
566,-59
567,-55
568,-49
569,-34
570,-29
571,-20
572,-11
573,0
574,13
575,24
576,27
577,35
578,41
579,41
580,37
581,41
582,37
583,33
584,28
585,23
586,18
587,19
588,11
589,6
590,-4
591,-8
592,-14
593,-19
594,-28
595,-24
596,-29
597,-33
598,-29
599,-32
600,-23
601,-20
602,-17
603,-12
604,-7
605,0
606,5
607,6
608,13
609,20
610,23
611,28
612,28
613,32
614,35
615,30
616,23
617,20
618,14
619,13
620,2
621,-4
622,-7
623,-11
624,-14
625,-21
626,-16
627,-20
628,-25
629,-27
630,-23
631,-16
632,-16
633,-12
634,-12
635,-4
636,0
637,1
638,0
639,10
640,15
641,16
642,15
643,19
644,19
645,20
646,20
647,18
648,18
649,13
650,6
651,3
652,6
653,0
654,1
655,-8
656,-11
657,-11
658,-11
659,-15
660,-15
661,-11
662,-11
663,-11
664,-12
665,-17
666,-10
667,-2
668,1
669,3
670,9
671,10
672,9
673,10
674,15
675,14
676,16
677,13
678,10
679,11
680,10
681,5
682,0
683,2
684,1
685,-6
686,-10
687,-11
688,-8
689,-10
690,-10
691,-11
692,-11
693,-11
694,-7
695,-11
696,-11
697,-3
698,-4
699,0
700,-2
701,0
702,6
703,6
704,7
705,10
706,9
707,14
708,15
709,9
710,13
711,9
712,7
713,5
714,1
715,0
716,-2
717,-3
718,-7
719,-6
720,-7
721,-7
722,-11
723,-8
724,-7
725,-4
726,-10
727,-3
728,-4
729,0
730,0
731,-3
732,3
733,5
734,10
735,6
736,3
737,3
738,5
739,10
740,3
741,7
742,6
743,5
744,1
745,-2
746,1
747,1
748,0
749,-3
750,-8
751,-2
752,-7
753,-6
754,-10
755,-8
756,-3
757,-2
758,-7
759,-7
760,2
761,1
762,0
763,1
764,-3
765,6
766,5
767,3
768,7
769,7
770,7
771,3
772,5
773,5
774,5
775,7
776,1
777,1
778,-3
779,-2
780,1
781,-3
782,-2
783,0
784,-4
785,-6
786,-10
787,0
788,-3
789,-2
790,0
791,-6
