Name,accelerometerIn
0,39
1,9
2,44
3,82
4,57
5,6
6,10
7,77
8,64
9,13
10,1
11,60
12,79
13,36
14,2
15,47
16,95
17,53
18,7
19,7
20,82
21,70
22,7
23,-2
24,70
25,81
26,28
27,0
28,48
29,84
30,41
31,-7
32,14
33,77
34,69
35,5
36,5
37,57
38,73
39,33
40,-6
41,41
42,82
43,35
44,-2
45,20
46,70
47,75
48,3
49,5
50,50
51,71
52,26
53,-4
54,40
55,71
56,39
57,2
58,22
59,66
60,66
61,0
62,18
63,56
64,69
65,23
66,-4
67,31
68,62
69,27
70,-6
71,27
72,58
73,39
74,-6
75,18
76,44
77,62
78,20
79,-7
80,26
81,62
82,23
83,-7
84,32
85,54
86,39
87,1
88,16
89,47
90,58
91,19
92,3
93,35
94,65
95,35
96,3
97,40
98,83
99,52
100,5
101,14
102,61
103,58
104,19
105,1
106,61
107,71
108,36
109,7
110,49
111,95
112,52
113,6
114,14
115,81
116,71
117,0
118,0
119,60
120,73
121,23
122,-8
123,41
124,77
125,32
126,-10
127,20
128,66
129,60
130,-4
131,16
132,44
133,64
134,16
135,-8
136,26
137,54
138,22
139,-4
140,27
141,60
142,39
143,0
144,15
145,49
146,52
147,20
148,5
149,36
150,66
151,36
152,11
153,37
154,79
155,52
156,10
157,15
158,67
159,60
160,15
161,0
162,62
163,75
164,36
165,7
166,45
167,91
168,48
169,6
170,13
171,86
172,71
173,2
174,3
175,62
176,70
177,26
178,-6
179,43
180,78
181,28
182,-11
183,16
184,61
185,65
186,-4
187,5
188,47
189,69
190,20
191,-10
192,27
193,58
194,24
195,-4
196,19
197,54
198,32
199,-3
200,15
201,43
202,54
203,18
204,0
205,31
206,58
207,35
208,7
209,32
210,78
211,52
212,5
213,10
214,62
215,56
216,15
217,3
218,60
219,70
220,33
221,7
222,47
223,95
224,48
225,1
226,11
227,81
228,70
229,5
230,1
231,60
232,73
233,20
234,-10
235,39
236,71
237,31
238,-10
239,15
240,62
241,60
242,-3
243,14
244,45
245,61
246,18
247,-11
248,26
249,58
250,20
251,-8
252,27
253,56
254,36
255,1
256,18
257,52
258,57
259,20
260,2
261,37
262,67
263,32
264,16
265,43
266,77
267,54
268,14
269,10
270,79
271,65
272,15
273,7
274,67
275,77
276,36
277,9
278,49
279,88
280,44
281,-3
282,11
283,79
284,71
285,5
286,3
287,65
288,74
289,24
290,-7
291,35
292,75
293,30
294,-11
295,26
296,52
297,40
298,-3
299,16
300,48
301,60
302,15
303,-2
304,33
305,57
306,32
307,9
308,32
309,75
310,48
311,7
312,14
313,67
314,57
315,16
316,6
317,60
318,73
319,39
320,3
321,44
322,88
323,52
324,7
325,7
326,81
327,67
328,2
329,-3
330,58
331,77
332,23
333,-10
334,40
335,75
336,32
337,-11
338,18
339,70
340,64
341,-4
342,16
343,49
344,66
345,20
346,-11
347,26
348,60
349,23
350,-2
351,24
352,49
353,31
354,0
355,15
356,48
357,57
358,18
359,2
360,28
361,58
362,35
363,3
364,35
365,77
366,49
367,10
368,10
369,62
370,57
371,18
372,1
373,56
374,74
375,35
376,6
377,47
378,84
379,50
380,5
381,7
382,82
383,70
384,2
385,3
386,62
387,74
388,23
389,-8
390,37
391,74
392,30
393,-8
394,18
395,66
396,61
397,-3
398,13
399,44
400,64
401,22
402,-11
403,22
404,54
405,22
406,-7
407,32
408,54
409,36
410,0
411,14
412,52
413,58
414,20
415,3
416,36
417,64
418,37
419,10
420,32
421,78
422,56
423,5
424,11
425,65
426,57
427,18
428,2
429,52
430,71
431,40
432,7
433,41
434,88
435,57
436,3
437,10
438,78
439,62
440,11
441,0
442,57
443,77
444,32
445,0
446,44
447,90
448,45
449,0
450,10
451,75
452,71
453,5
454,3
455,60
456,67
457,30
458,1
459,43
460,84
461,39
462,1
463,14
464,71
465,74
466,3
467,5
468,62
469,73
470,23
471,-7
472,39
473,77
474,28
475,-11
476,20
477,62
478,67
479,0
480,13
481,45
482,67
483,26
484,-11
485,32
486,73
487,35
488,-2
489,24
490,61
491,64
492,0
493,10
494,50
495,67
496,16
497,-7
498,31
499,61
500,26
501,-7
502,23
503,52
504,36
505,-4
506,18
507,45
508,61
509,16
510,-7
511,26
512,58
513,27
514,-10
515,28
516,65
517,32
518,3
519,19
520,49
521,56
522,26
523,1
524,37
525,69
526,37
527,16
528,40
529,77
530,53
531,7
532,11
533,64
534,54
535,16
536,5
537,57
538,73
539,39
540,7
541,43
542,86
543,53
544,3
545,7
546,77
547,62
548,10
549,-6
550,62
551,79
552,28
553,-2
554,44
555,88
556,44
557,0
558,10
559,79
560,73
561,2
562,1
563,66
564,74
565,28
566,-2
567,43
568,91
569,39
570,-3
571,9
572,73
573,73
574,3
575,2
576,62
577,77
578,24
579,-11
580,40
581,78
582,24
583,-10
584,24
585,57
586,71
587,0
588,6
589,53
590,69
591,20
592,-11
593,33
594,67
595,33
596,-4
597,19
598,60
599,58
600,-4
601,14
602,49
603,65
604,23
605,-11
606,27
607,64
608,26
609,-10
610,24
611,49
612,36
613,-4
614,18
615,41
616,58
617,18
618,-8
619,24
620,52
621,24
622,2
623,19
624,52
625,30
626,-3
627,18
628,47
629,61
630,15
631,-3
632,26
633,56
634,27
635,-4
636,28
