Name,accelerometerIn
0,9
1,9
2,3
3,5
4,3
5,-2
6,-4
7,-7
8,-7
9,-8
10,-8
11,-11
12,-11
13,-10
14,-11
15,-76
16,-191
17,-14
18,-21
19,39
20,73
21,109
22,24
23,1
24,-70
25,31
26,-76
27,78
28,62
29,50
30,66
31,81
32,82
33,94
34,65
35,52
36,-6
37,-4
38,23
39,-10
40,20
41,-11
42,-16
43,-14
44,-32
45,-37
46,-41
47,-61
48,-65
49,-74
50,-63
51,-53
52,-41
53,-31
54,-28
55,-16
56,0
57,2
58,19
59,16
60,30
61,41
62,33
63,40
64,47
65,47
66,54
67,53
68,43
69,41
70,32
71,18
72,2
73,-10
74,-19
75,-33
76,-44
77,-51
78,-46
79,-36
80,-37
81,-34
82,-41
83,-36
84,-38
85,-38
86,-27
87,-11
88,-3
89,18
90,26
91,24
92,33
93,40
94,44
95,45
96,41
97,33
98,36
99,27
100,23
101,18
102,7
103,1
104,-7
105,-10
106,-19
107,-24
108,-25
109,-32
110,-40
111,-42
112,-38
113,-38
114,-34
115,-28
116,-21
117,-16
118,-12
119,-7
120,0
121,13
122,18
123,24
124,27
125,32
126,40
127,39
128,39
129,35
130,32
131,28
132,20
133,11
134,5
135,-2
136,-8
137,-14
138,-24
139,-27
140,-29
141,-28
142,-33
143,-36
144,-31
145,-32
146,-28
147,-23
148,-17
149,-11
150,-6
151,-2
152,9
153,14
154,15
155,20
156,23
157,24
158,27
159,30
160,23
161,24
162,22
163,16
164,13
165,7
166,0
167,0
168,-8
169,-12
170,-19
171,-24
172,-25
173,-28
174,-25
175,-28
176,-21
177,-20
178,-19
179,-17
180,-12
181,-11
182,-2
183,6
184,9
185,11
186,19
187,20
188,23
189,22
190,28
191,24
192,22
193,16
194,18
195,15
196,10
197,5
198,-4
199,-4
200,-11
201,-11
202,-14
203,-19
204,-19
205,-20
206,-20
207,-23
208,-23
209,-17
210,-15
211,-14
212,-12
213,-2
214,-11
215,-83
216,-36
217,-10
218,-27
219,22
220,83
221,146
222,24
223,-4
224,19
225,10
226,62
227,84
228,78
229,79
230,88
231,57
232,81
233,9
234,39
235,5
236,7
237,0
238,3
239,-2
240,-10
241,-36
242,-42
243,-66
244,-67
245,-66
246,-70
247,-70
248,-65
249,-51
250,-33
251,-24
252,-16
253,-12
254,-4
255,2
